1,19.95490718,1,1
9999,19.12,9999,9999,1^1^20
9999,6.90753,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.06455,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,0.122192,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,14.8538,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,9.66436,9999,9999,1^3^20:1^1^1520
9999,14.5334,9999,9999,1^4^20:1^1^1520
9999,11.3741,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.7902,9999,9999,1^3^20:1^1^1520
9999,3.59526,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,0.691565,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,19.9627,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,16.9449,9999,9999,1^3^20:1^1^1520
9999,5.70478,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,4.27176,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.0355,9999,9999,1^4^20:1^1^1520
9999,3.27901,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,10.4584,9999,9999,1^4^20:1^1^1520
9999,15.5235,9999,9999,1^3^20:1^1^1520
9999,5.42797,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,13.2584,9999,9999,1^3^20:1^1^1520
9999,7.02109,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.2858,9999,9999,1^4^20:1^1^1520
9999,8.48522,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,4.13081,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,14.5258,9999,9999,1^4^20:1^1^1520
9999,18.6939,9999,9999,1^3^20:1^1^1520
9999,15.2277,9999,9999,1^4^20:1^1^1520
9999,19.5093,9999,9999,1^3^20:1^1^1520
9999,0.696294,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.98721,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,9.13084,9999,9999,1^3^20:1^1^1520
9999,6.55818,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,4.26497,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,14.6467,9999,9999,1^4^20:1^1^1520
9999,16.956,9999,9999,1^3^20:1^1^1520
9999,7.48674,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.31391,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.65785,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.5047,9999,9999,1^3^20:1^1^1520
9999,12.2507,9999,9999,1^4^20:1^1^1520
9999,11.2611,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,18.7674,9999,9999,1^3^20:1^1^1520
9999,3.0234,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.3607,9999,9999,1^3^20:1^1^1520
9999,15.8739,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,14.7108,9999,9999,1^4^20:1^1^1520
9999,2.42164,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.2667,9999,9999,1^4^20:1^1^1520
9999,19.8527,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,8.78347,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,3.99993,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.34958,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,14.3476,9999,9999,1^3^20:1^1^1520
9999,3.88114,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,6.62549,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,17.9564,9999,9999,1^4^20:1^1^1520
9999,14.0685,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.95193,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,4.99464,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,9.57295,9999,9999,1^3^20:1^1^1520
9999,13.1383,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,18.9963,9999,9999,1^4^20:1^1^1520
9999,6.99881,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,8.16475,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,8.9778,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,15.026,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,10.3158,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.01874,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,2.15879,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,17.6399,9999,9999,1^3^20:1^1^1520
9999,2.89177,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,17.8302,9999,9999,1^3^20:1^1^1520
9999,14.722,9999,9999,1^4^20:1^1^1520
9999,9.83354,9999,9999,1^3^20:1^1^1520
9999,4.44758,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.27903,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,15.6591,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,8.98979,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,2.13908,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,0.0758008,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,10.8198,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.4665,9999,9999,1^3^20:1^1^1520
9999,12.5539,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.30621,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,8.02111,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,15.2031,9999,9999,1^4^20:1^1^1520
9999,5.48814,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,15.9551,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,17.9937,9999,9999,1^4^20:1^1^1520
